"Product ID","Name","Description","Meta Title","Meta description","Meta keywords"
7,"Bloch Serenade Pointe Ballet Shoes","<p>A wide platform for balancing en pointe.&nbsp;Longer vamp and firm shank help to prevent flexible&nbsp;feet from bending too far over pointe.&nbsp;Suited to a dancer with square shaped toes.&nbsp;Available with a stronger shank, S0131S.</p>","Bloch Serenade Pointe Ballet Shoes","This pointe ballet shoe has a wide platform for balancing en pointe. Bloch handmade professional ballet pointe dance shoes since 1932",
9,"Bloch Nicola Latin Tango Dance Shoes","<p>The narrow tapered heel and T-Bar strap provide support and make it a great shoe for social dancing. The self locking buckle is great for is great for quick changes and the suede sole is felxible and supportive for a greater range movement.</p>","Bloch Nicola Latin Tango Dance Shoes","Our Latin / Tango dance shoes have quick release buckles for fast costume changes. With a strong latin and tango height heal. Bloch handmade professional latin and tango dance shoes since 1932",
13,"Bloch European Balance Ballet Pointe Shoe","<p>Similar to the Balance, with a more tapered box&nbsp;and the inside of the shoe is narrower for a snug fit&nbsp;around the toes.</p>","Bloch European Balance Ballet Pointe Shoes","Top quality handmade professional ballet pointe dance shoes since 1932",
14,"Bloch B Morph Ballet Pointe Shoe","<p>Features TMT, allowing the dancer to mold the shoe&nbsp;to the contours of their feet.&nbsp;Wide platform helps to support and stabilize the&nbsp;ankle and enables the dancer to balance more&nbsp;easily 'en pointe'.</p>","Bloch B Morph Ballet Pointe Shoes","This pointe ballet shoes is designed to mold to the ballet dancers foot, giving ballet dancers great stability when en pointe. Bloch handmade professional ballet pointe dance shoes since 1932",
15,"Bloch Synergy Ballet Pointe Shoe","<p>A wider block around the metatarsals to&nbsp;accommodate bunions.&nbsp;Flexible shank supports the dancer 'en pointe' and allows demi pointe.</p>","Bloch Synergy Ballet Pointe Shoes","This professional ballet shoe is flexible to allow for en pointe and demi point. Bloch handmade professional ballet pointe dance shoes since 1932",
17,"Bloch Aspiration Ballet Pointe Shoe","<p>Wide box and platform allows the toes to spread&nbsp;and provides stability.</p>","Bloch Aspiration Ballet Pointe Shoes","A ballet shoes designed for en pointe stability allowing the toes to spread. Bloch handmade professional ballet pointe dance shoes since 1932",
18,"Bloch Amelie ballet Pointe Shoe","<p>The gently curved sides of the box encourage the&nbsp;foot into the correct alignment.&nbsp;A soft shank, graded in strength to allow the dancer&nbsp;to roll up onto pointe with ease.</p>","Bloch Amelie ballet Pointe Shoes","Soft shank ballet shoes, to aid the ballet dancer to roll the foot up into the en point with ease. Bloch Top quality handmade professional ballet pointe dance shoes since 1932",
19,"Bloch Alpha Ballet Pointe Shoe","<p>Full shank for support. With &frac34; outsole for increased flexibility.&nbsp;</p>","Bloch Alpha Ballet Pointe Shoes","Full shank support ballet shoes for extra support when en pointe. Bloch handmade professional pointe dance ballet shoes since 1932",
20,"Bloch Jetstream Ballet Pointe Shoe","<p>The Jetstream pointe shoe has been created with&nbsp;an innovative box design exclusive to Bloch.&nbsp;The new EVA cushioned box molds to the&nbsp;contours of the foot for greater comfort and shock&nbsp;absorbency eliminating the need for additional padding.&nbsp;Carefully tailored upper lining to reduce creasing.&nbsp;Low profile for a perfect continuation of the leg line.</p>","Bloch Jetstream Ballet Pointe Shoes","These ballet shoes have been specially designed with shock absorbing technology for those dancers en point. Bloch handmade professional ballet pointe dance shoes since 1932",
21,"Bloch Sonata Ballet Pointe Shoe","<p>The platform is as wide as Serenade but taller, which makes it a good balancing shoe. The box contains a sponge inside the toe at the platform for extra comfort and contains no tack or glue on the heel allowing the shank to bend easier at 3/4. A good and comfortable 'all rounder' shoe. Available with a stronger shank, S0130S.</p>","Bloch Sonata Ballet Pointe Shoes","En Pointe ballet shoes. these shoes have been designed to be a good balancing shoes for demanding en pointe routines. Top quality handmade professional ballet pointe dance shoes since 1932",
22,"Bloch Sonata Strong Ballet Pointe Shoe","<p>A wide platform for balancing 'en pointe'.&nbsp;Tapered heel for a snug fit.&nbsp;Stronger shank, 2.5mm board instead of a 1.8mm.</p>","Bloch Sonata Strong Ballet Pointe Shoes","Strong shank ballet shoes. With a wide platform to give greater en pointe stability. Bloch handmade professional ballet pointe dance shoes since 1932",
24,"Bloch Serenade Strong Ballet Pointe Shoe","<p>Stronger shank 2.5mm board.&nbsp;A wide platform for balancing en pointe.&nbsp;Longer vamp and firm shank help to prevent flexible&nbsp;feet from bending too far over pointe.&nbsp;Suited to a dancer with square shaped toes.</p>","Bloch Serenade Strong Ballet Pointe Shoes","Strong shank ballet shoes. The shank strength will reduce over pointe in flexible feet. Bloch handmade professional ballet pointe dance shoes since 1932",
25,"Bloch Suprima Ballet Pointe Shoe","<p>Tapered shape for slender feet.&nbsp;Smaller platform and tapered box flatter the line&nbsp;of the leg.&nbsp;Has the smallest platform &amp; most tapered box of all&nbsp;the Bloch pointe shoes. These two features give an&nbsp;aesthetically pleasing finish to the leg line.&nbsp;Also available with a stronger shank, S0132S.</p>","Bloch Suprima Ballet Pointe Shoes","Ballet shoes for narrow feet. These ballet shoes are designed to give narrow feet support when en pointe. Bloch handmade professional en point ballet shoes since 1932",
26,"Bloch Suprima Strong Ballet Pointe Shoe","<p>Identical to the Suprima but with stronger shank.&nbsp;Shank is made with a 2.5mm board.</p>","Bloch Suprima Strong Ballet Pointe Shoes","Strong shank ballet shoes for narrow feet. These ballet shoes are designed to give narrow feet support when en pointe. Bloch handmade professional en point ballet shoes since 1932",
27,"Bloch Demi Ballet Pointe Shoe","<p>The Demipointe shoe helps to build strength in&nbsp;the dancer preparing for pointe work, by providing&nbsp;resistance to the foot when pointing.&nbsp;Features a curved box shaped like a pointe shoe&nbsp;but slightly softer&nbsp;and not intended to support the dancer 'en pointe'.</p>","Bloch Demi Ballet Pointe Shoes","Demi pointe ballet shoes, for ballet dancers needed to strengthen feet prior to being en poitne. Bloch handmade professional en point ballet shoes since 1932",
28,"Bloch Triomphe Ballet Pointe Shoe","<p>A tapered platform and slim box to flatter the line&nbsp;of the leg.&nbsp;A firm shank supports the dancer 'en pointe'.&nbsp;Features a suede toe cap to reduce wear and tear&nbsp;on the platform and helps to prevent slipping on the&nbsp;corners of the platform.</p>","Bloch Triomphe Ballet Pointe Shoes","Suede toed ballet shoes with strong shank. These ballet shoes are designed to be hard wearing and highly support the en pointe position. Bloch handmade professional en point ballet shoes since 1932",
29,"Bloch Heritage Ballet Pointe Shoe","<p>Flattering V shaped vamp, light and streamlined shoe.&nbsp;Shank is gently curved to hug the arch when&nbsp;pointing and allows flexibility and control.</p>","Bloch Heritage Ballet Pointe Shoes","Curved Shank Ballet Shoes. Light and Flexible Ballet shoes for better pointed form. Bloch handmade professional en point ballet shoes since 1932",
31,"Bloch Ultraflex Jazz Dance Shoe","<p>Soft leather upper with laces for a secure fit.&nbsp;Rubber split sole.</p>","Bloch Ultraflex Jazz Dance Shoes","Black leather jazz shoes. Bloch handmade professional dance shoes since 1932",
32,"Bloch Wave Sneaker","<p>Built in arch support to elevate and accentuate the arch.&nbsp;Cushioned heel for shock absorption and comfort.&nbsp;Flexible non marking outsole with TPU spin spot.&nbsp;Lightweight breathable mesh upper and dri-lex&nbsp;lining with wicking properties.</p>","Bloch Wave Dance Sneakers","Wave Dance trainer. The only trainer shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
33,"Bloch Flash Sneaker","<p>Versatile split sole dance sneaker with built in arch support. Coloured, flexible non-marking outsole with functional TPU spin spot. Breathable mesh upper and dri-lex lining with wicking properties.</p>","Bloch Flash Dance Sneakers","Flash Dance trainer. The only trainer shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
34,"Bloch Twist Sneaker","<p>Built in arch support to accentuate the arch.&nbsp;High density non marking TPU outsole with&nbsp;functional spin spot.&nbsp;Features a cushioned heel for shock absorption&nbsp;and comfort.&nbsp;Breathable mesh upper and dri-lex lining with&nbsp;wicking properties.</p>","Bloch Twist Dance Sneakers","Twist Dance trainer. The only trainer shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
35,"Bloch Criss Cross Sneaker","<p>Versatile split-sole dance sneaker with built in arch support. Flexible non marking outsole with functional TPU spin spot. Lightweight breathable mesh upper and dri-lex lining with wicking properties.</p>","Bloch Criss Cross Dance Sneakers","Criss Cross Dance trainer. The only trainer shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
36,"Bloch Evolution Sneaker","<p>Leather and mesh low profile dance sneaker.&nbsp;Non-marking outsole.&nbsp;EVA foam midsole for comfort and shock absorption.&nbsp;Removable sock liner for comfort.</p>","Bloch Evolution Dance Sneakers","Evolution Dance trainer. The only trainer shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
37,"Bloch Boost DRT Sneaker","<p>Boost DRT incorporates super lightweight materials and a custom fit to provide support &amp; optimum arch fit. The cushioned heel provides comfort, while the spin spot and flexible split sole make this shoe articulate and supportive. All time favourite.&nbsp;</p>","Bloch Boost DRT Sneaker","Boost DRT Dance trainer. The only trainer shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
38,"Bloch Amalgam Sneaker","<p>Crossover jazz shoe to dance sneaker with leather&nbsp;and mesh upper.&nbsp;Ultra lightweight, flexible design providing freedom&nbsp;to move for the feet through all positions.&nbsp;Feminine form with exaggerated arch profile&nbsp;creating an elegant fit.&nbsp;Dri-Lex lining that is non-wrinkling, breathable and&nbsp;odor/mildew resistant.&nbsp;Non-marking thin split sole and intelligent flat&nbsp;lacing system.</p>","Bloch Amalgam Sneaker","Amalgam Jazz / Dance trainer. The only crossover dance/ Jazz shoes specially designed for the needs of street dancers. Bloch handmade professional dance shoes since 1932",
39,"Bloch Foot thong II","<p>Suede leather forefoot pad protects the ball of&nbsp;the foot from abrasion, particularly in styles such as&nbsp;contemporary, jazz and lyrical.&nbsp;Elastics over foot secure the Foot Thong.&nbsp;Extra instep elastic for security.</p>","Bloch Foot thong II","Leather footpad protector for the ball of foot. Designed to protect feet in Jazz and contemporary dance routines. Bloch handmade professional dance shoes since 1932",
40,"Bloch Cabaret Dance Shoe","<p>Leather chorus shoe with a 2&frac12;&rdquo; heel.&nbsp;Cushioned insole for comfort and shock absorption.&nbsp;Elastic join to release tension on the instep.</p>","Bloch Cabaret Dance Shoes","2 1/2"" inch heel black leather cabaret dance shoes also available in tan. Bloch handmade professional dance shoes since 1932",
41,"Bloch Jazz tap Heel & Toe Tap Shoes","<p>Jazz style leather upper.&nbsp;The toe tap is secured to a resonating board for a&nbsp;full sound and stability.&nbsp;Techno heel &amp; toe taps.</p>","Bloch Jazz tap Heel & Toe Tap Shoes","Bloch Jazz tap Heel & Toe Tap Shoes. Bloch handmade professional dance tap and jazz shoes since 1932",
42,"Bloch Paris Teaching Ballet Shoe","<p>Leather split sole ballet upper with a 1&rdquo; heel to&nbsp;reduce strain on the Achilles tendon and calf muscle.&nbsp;Drawstring cord to adjust fit.&nbsp;Canvas lining.</p>","Bloch Paris Teaching Ballet Shoes","Black Leather split sole ballet shoe with a 1” heel to reduce strain on the Achilles tendon. Bloch handmade professional dance shoes since 1932",
44,"Bloch Full Sole Leather Ballet Shoe","<p>Leather full sole.&nbsp;Cotton lining and pre-sewn instep elastic.</p>","Bloch Girls Full Sole Leather Ballet Shoes","Girls pink leather ballet shoes, full sole. Bloch handmade professional dance shoes since 1932",
46,"Bloch Prolite Satin Ballet Shoe","<p>Satin full sole.&nbsp;Cotton lining and suede insock.</p>","Bloch Girls Prolite Satin Pink Ballet Shoes","Bloch Girls Prolite Satin Pink Ballet Shoes full sole for Ballet beginners. Bloch handmade professional dance shoes since 1932",
47,"Bloch Split Sole Satin Ballet Shoe","<p>Satin split sole.&nbsp;Cotton lining and suede insock.</p>","Bloch Split Sole Satin Ballet Shoes","Bloch Girls Satin Pink Ballet Shoes split sole for Ballet beginners. Bloch handmade professional dance shoes since 1932",
